,open_covid_region_code,sub_region_1,date,hospitalized_cumulative,hospitalized_new,symptom:Angular cheilitis,symptom:Aphonia,symptom:Burning Chest Pain,symptom:Crackles,symptom:Dysautonomia,symptom:Hemolysis,symptom:Laryngitis,symptom:Myoclonus,symptom:Polydipsia,symptom:Rectal pain,symptom:Shallow breathing,symptom:Urinary urgency,symptom:Ventricular fibrillation,symptom:Viral pneumonia
468,US-SD,South Dakota,2020-03-30,23.0,23.0,4.94,4.94,8.42,10.44,,7.63,8.87,5.16,5.84,6.51,12.8,7.18,10.78,16.28
469,US-SD,South Dakota,2020-04-06,44.0,21.0,4.73,,9.34,10.03,,10.95,5.42,7.96,,5.65,10.03,7.96,8.3,8.07
470,US-SD,South Dakota,2020-04-13,87.0,43.0,4.81,5.37,11.08,4.48,,9.74,6.94,7.95,6.16,7.39,6.05,5.37,7.17,
471,US-SD,South Dakota,2020-04-20,150.0,63.0,4.75,4.63,8.34,5.1,6.95,11.47,5.21,6.37,,7.53,7.64,6.83,9.38,
472,US-SD,South Dakota,2020-04-27,211.0,61.0,5.8,,8.28,,5.56,10.77,,6.86,6.04,6.63,7.1,6.39,7.34,
473,US-SD,South Dakota,2020-05-04,263.0,52.0,,6.34,6.91,4.61,,7.95,5.42,,5.99,7.72,5.18,7.49,8.53,
474,US-SD,South Dakota,2020-05-11,316.0,53.0,,,6.81,5.75,,6.58,5.4,8.69,5.52,8.45,4.93,7.16,6.69,
475,US-SD,South Dakota,2020-05-18,370.0,54.0,,,8.04,,6.91,5.65,,5.53,,8.54,5.15,6.66,8.41,
476,US-SD,South Dakota,2020-05-25,435.0,65.0,6.9,,,5.88,5.75,5.62,5.37,6.13,,5.88,5.49,9.07,9.2,
477,US-SD,South Dakota,2020-06-01,482.0,47.0,5.19,,,,6.46,,7.09,6.58,6.2,6.46,5.7,6.46,,
478,US-SD,South Dakota,2020-06-08,544.0,62.0,,,6.67,,8.56,6.29,5.04,6.67,,,5.41,5.54,6.17,5.29
479,US-SD,South Dakota,2020-06-15,616.0,72.0,,,,,7.41,6.53,,,7.66,6.03,,8.41,9.41,
480,US-SD,South Dakota,2020-06-22,657.0,41.0,6.67,,,,9.06,6.16,7.04,8.3,,5.66,,8.68,7.8,6.29
481,US-SD,South Dakota,2020-06-29,692.0,35.0,,,9.07,5.57,7.13,5.83,,7.13,,6.87,,7.26,7.26,5.44
